"date","maxtemp","mintemp","rain","humidity"
"1951-01-01",26.6,11,0,85
"1951-01-02",27,11.5,0,85
"1951-01-03",27,12,0,81
"1951-01-04",26.2,12.6,0,81
"1951-01-05",26.5,10.2,0,79
"1951-01-06",27.2,11,0,82
"1951-01-07",27.8,13,0,80
"1951-01-08",29.8,13.8,0,79
"1951-01-09",27.2,15.2,0,80
"1951-01-10",28.2,14,0,82
"1951-01-11",28.8,15.2,0,82
"1951-01-12",29,13.2,0,81
"1951-01-13",29.8,11.5,0,75
"1951-01-14",26.8,16.8,0,76
"1951-01-15",27.2,17,0,74
"1951-01-16",27.2,13,0,74
"1951-01-17",26.5,12.8,0,80
"1951-01-18",27.5,14,0,77
"1951-01-19",28.8,15,0,78
"1951-01-20",27.8,13.4,0,78
"1951-01-21",25.5,17.5,0,82
"1951-01-22",19,18,27.9,96
"1951-01-23",16.2,16,5.7,96
"1951-01-24",15.5,14.8,27.9,98
"1951-01-25",17,13.2,17.3,98
"1951-01-26",22.2,15.2,0,86
"1951-01-27",27.5,17,0,78
"1951-01-28",26.2,14.2,0,83
"1951-01-29",27.2,10,0,74
"1951-01-30",27.5,10.2,0,72
"1951-01-31",27.8,10.8,0,75
"1951-02-01",28.6,9.8,0,71
"1951-02-02",28.2,12,0,73
"1951-02-03",28.8,13,0,72
"1951-02-04",29,11,0,73
"1951-02-05",29.2,10.2,0,72
"1951-02-06",29.2,15.2,0,69
"1951-02-07",28.8,13.5,0,75
"1951-02-08",29.8,13.2,0,74
"1951-02-09",29.9,11.2,0,70
"1951-02-10",29.9,10.2,0,71
"1951-02-11",30.5,12,0,65
"1951-02-12",30.8,13.2,0,66
"1951-02-13",30.8,10.5,0,68
"1951-02-14",30.2,16,0,65
"1951-02-15",31.2,10.2,0,66
"1951-02-16",31.5,11,0,70
"1951-02-17",25.7,17.5,0,86
"1951-02-18",25.7,17,0,76
"1951-02-19",29.5,13.5,0,78
"1951-02-20",31.6,13.8,0,70
"1951-02-21",30.8,17,0,64
"1951-02-22",31.6,13.5,0,67
"1951-02-23",31.8,11.2,0,63
"1951-02-24",31.2,12.7,0,66
"1951-02-25",32.4,10.5,0,66
"1951-02-26",32.2,12,0,63
"1951-02-27",32.8,12,0,66
"1951-02-28",32.8,15,0,69
"1951-03-01",32.1,14,0,61
"1951-03-02",31.5,18.2,0,65
"1951-03-03",31.5,17.8,0,66
"1951-03-04",33.6,18,0,66
"1951-03-05",33.2,19.1,0,58
"1951-03-06",33.7,19.2,0,56
"1951-03-07",32.5,16.2,0,67
"1951-03-08",34,12.2,0,65
"1951-03-09",32.8,11,0,61
"1951-03-10",34.6,12.8,0,58
"1951-03-11",35.5,14.6,0,60
"1951-03-12",35.2,14,0,62
"1951-03-13",33.2,15.2,0,66
"1951-03-14",34.2,17,5.8,71
"1951-03-15",34.2,16,0,66
"1951-03-16",34.2,16.2,7.4,72
"1951-03-17",29.8,14,0,77
"1951-03-18",32.8,15,0,70
"1951-03-19",33.8,15,0,63
"1951-03-20",32,15.2,0,59
"1951-03-21",28.2,18.2,6.4,69
"1951-03-22",26.6,18.2,0,84
"1951-03-23",31.5,17,0,76
"1951-03-24",32.5,18.5,0,65
"1951-03-25",33.8,17.2,0,66
"1951-03-26",35.2,18,0,64
"1951-03-27",36.2,18.5,0,60
"1951-03-28",34.3,17.6,0,63
"1951-03-29",35.2,16.5,0,60
"1951-03-30",36.2,17,0,61
"1951-03-31",33.8,16,0,73
"1951-04-01",34.8,17.2,0,68
"1951-04-02",34.2,17,0,63
"1951-04-03",34.6,18,0,64
"1951-04-04",35.2,17,0,62
"1951-04-05",35.2,16.2,0,62
"1951-04-06",35,18.2,0,63
"1951-04-07",36.2,18.2,0,63
"1951-04-08",37.2,18.5,0,53
"1951-04-09",38.2,18,0,53
"1951-04-10",37,20.4,0,55
"1951-04-11",36,18.4,2.2,61
"1951-04-12",32.2,19.2,18.8,80
"1951-04-13",30.2,17,12.2,75
"1951-04-14",29.2,16.2,0,75
"1951-04-15",31.2,17.2,0,67
"1951-04-16",31.8,18.2,0,73
"1951-04-17",35.2,18.5,0,59
"1951-04-18",36.6,17,0,56
"1951-04-19",36.2,18,0,56
"1951-04-20",35.8,20.2,0,58
"1951-04-21",32.8,18,0,71
"1951-04-22",31.5,19.8,12.8,65
"1951-04-23",30,18,8.4,74
"1951-04-24",34.2,18.8,0,62
"1951-04-25",36,19,0,55
"1951-04-26",35,19.2,0,59
"1951-04-27",34.5,19.6,0,68
"1951-04-28",35,19.8,8.8,70
"1951-04-29",34,20,0,68
"1951-04-30",35,20.5,0,66
"1951-05-01",35.5,20.4,0,60
"1951-05-02",36.2,20.6,4.8,60
"1951-05-03",32.8,20.2,0,76
"1951-05-04",33.5,20.5,0,70
"1951-05-05",35.2,21.2,0,69
"1951-05-06",33.2,21.4,0,69
"1951-05-07",36.8,22,0,60
"1951-05-08",37.2,19.9,0,56
"1951-05-09",37.2,21.8,0,58
"1951-05-10",36.2,22.6,0,68
"1951-05-11",34.5,22.2,0,71
"1951-05-12",37.8,22.5,6.8,68
"1951-05-13",37.8,20.2,2.2,58
"1951-05-14",38.2,23,0,53
"1951-05-15",38.7,23.2,0,56
"1951-05-16",38.8,22,0,54
"1951-05-17",36.2,23.5,0,67
"1951-05-18",37.2,24,3.8,60
"1951-05-19",30.6,22,2.6,76
"1951-05-20",29,21.2,0,77
"1951-05-21",34.5,21.2,0,68
"1951-05-22",33,23.2,8.4,78
"1951-05-23",33.2,21.2,0,81
