date,mean_I,lower_I,upper_I,mean_R,lower_R,upper_R,mean_S,lower_S,upper_S,mean_Inc,lower_Inc,upper_Inc,mean_cases,lower_cases,upper_cases
2012-08-09,16.115,16.115,16.115,929998,929998,929998,69985.7,69985.7,69985.7,14.2703,14.2703,14.2703,7.13515,7.13515,7.13515
2012-08-16,25.9618,25.9618,25.9618,930011,930011,930011,69962.7,69962.7,69962.7,22.9871,22.9871,22.9871,11.4936,11.4936,11.4936
2012-08-23,41.8055,41.8055,41.8055,930032,930032,930032,69925.7,69925.7,69925.7,37.008,37.008,37.008,18.504,18.504,18.504
2012-08-30,67.2674,67.2674,67.2674,930067,930067,930067,69866.2,69866.2,69866.2,59.5292,59.5292,59.5292,29.7646,29.7646,29.7646
2012-09-06,108.106,108.106,108.106,930121,930121,930121,69770.6,69770.6,69770.6,95.6216,95.6216,95.6216,47.8108,47.8108,47.8108
2012-09-13,173.401,173.401,173.401,930209,930209,930209,69617.3,69617.3,69617.3,153.251,153.251,153.251,76.6257,76.6257,76.6257
2012-09-20,277.268,277.268,277.268,930350,930350,930350,69372.6,69372.6,69372.6,244.73,244.73,244.73,122.365,122.365,122.365
2012-09-27,441.164,441.164,441.164,930575,930575,930575,68984,68984,68984,388.578,388.578,388.578,194.289,194.289,194.289
2012-10-04,696.466,696.466,696.466,930931,930931,930931,68372.6,68372.6,68372.6,611.398,611.398,611.398,305.699,305.699,305.699
2012-10-11,1086.15,1086.15,1086.15,931490,931490,931490,67424.2,67424.2,67424.2,948.418,948.418,948.418,474.209,474.209,474.209
2012-10-18,1662.38,1662.38,1662.38,932353,932353,932353,65984.8,65984.8,65984.8,1439.43,1439.43,1439.43,719.713,719.713,719.713
2012-10-25,2474.01,2474.01,2474.01,933656,933656,933656,63870.5,63870.5,63870.5,2114.33,2114.33,2114.33,1057.16,1057.16,1057.16
2012-11-01,3536.88,3536.88,3536.88,935555,935555,935555,60907.7,60907.7,60907.7,2962.76,2962.76,2962.76,1481.38,1481.38,1481.38
2012-11-08,4788.02,4788.02,4788.02,938198,938198,938198,57014.2,57014.2,57014.2,3893.52,3893.52,3893.52,1946.76,1946.76,1946.76
2012-11-15,6050.82,6050.82,6050.82,941652,941652,941652,52296.7,52296.7,52296.7,4717.44,4717.44,4717.44,2358.72,2358.72,2358.72
2012-11-22,7062.28,7062.28,7062.28,945845,945845,945845,47092.3,47092.3,47092.3,5204.42,5204.42,5204.42,2602.21,2602.21,2602.21
2012-11-29,7582.44,7582.44,7582.44,950535,950535,950535,41882.1,41882.1,41882.1,5210.25,5210.25,5210.25,2605.13,2605.13,2605.13
2012-12-06,7515.97,7515.97,7515.97,955370,955370,955370,37114,37114,37114,4768.05,4768.05,4768.05,2384.03,2384.03,2384.03
2012-12-13,6943.79,6943.79,6943.79,959993,959993,959993,33063,33063,33063,4051.03,4051.03,4051.03,2025.51,2025.51,2025.51
2012-12-20,6052.96,6052.96,6052.96,964140,964140,964140,29807.1,29807.1,29807.1,3255.88,3255.88,3255.88,1627.94,1627.94,1627.94
2012-12-27,5040.21,5040.21,5040.21,967672,967672,967672,27288.3,27288.3,27288.3,2518.83,2518.83,2518.83,1259.41,1259.41,1259.41
2013-01-03,4052.6,4052.6,4052.6,970561,970561,970561,25386.8,25386.8,25386.8,1901.42,1901.42,1901.42,950.709,950.709,950.709
2013-01-10,3174.23,3174.23,3174.23,972853,972853,972853,23972.9,23972.9,23972.9,1414,1414,1414,706.998,706.998,706.998
2013-01-17,2438.47,2438.47,2438.47,974631,974631,974631,22930.6,22930.6,22930.6,1042.28,1042.28,1042.28,521.139,521.139,521.139
2013-01-24,1846.73,1846.73,1846.73,975987,975987,975987,22166.2,22166.2,22166.2,764.394,764.394,764.394,382.197,382.197,382.197
2013-01-31,1384.06,1384.06,1384.06,977009,977009,977009,21607.2,21607.2,21607.2,558.993,558.993,558.993,279.496,279.496,279.496
2013-02-07,1029.41,1029.41,1029.41,977772,977772,977772,21199.1,21199.1,21199.1,408.132,408.132,408.132,204.066,204.066,204.066
2013-02-14,761.388,761.388,761.388,978337,978337,978337,20901.3,20901.3,20901.3,297.72,297.72,297.72,148.86,148.86,148.86
2013-02-21,560.866,560.866,560.866,978755,978755,978755,20684.3,20684.3,20684.3,217.071,217.071,217.071,108.536,108.536,108.536
2013-02-28,411.933,411.933,411.933,979062,979062,979062,20526,20526,20526,158.225,158.225,158.225,79.1127,79.1127,79.1127
2013-03-07,301.895,301.895,301.895,979287,979287,979287,20410.7,20410.7,20410.7,115.314,115.314,115.314,57.6572,57.6572,57.6572
2013-03-14,220.904,220.904,220.904,979452,979452,979452,20326.7,20326.7,20326.7,84.0334,84.0334,84.0334,42.0167,42.0167,42.0167
2013-03-21,161.456,161.456,161.456,979573,979573,979573,20265.5,20265.5,20265.5,61.2349,61.2349,61.2349,30.6175,30.6175,30.6175
2013-03-28,117.907,117.907,117.907,979661,979661,979661,20220.8,20220.8,20220.8,44.6204,44.6204,44.6204,22.3102,22.3102,22.3102
2013-04-04,86.0523,86.0523,86.0523,979726,979726,979726,20188.3,20188.3,20188.3,32.5132,32.5132,32.5132,16.2566,16.2566,16.2566
2013-04-11,62.7758,62.7758,62.7758,979773,979773,979773,20164.6,20164.6,20164.6,23.6909,23.6909,23.6909,11.8454,11.8454,11.8454
2013-04-18,45.7806,45.7806,45.7806,979807,979807,979807,20147.4,20147.4,20147.4,17.2624,17.2624,17.2624,8.63118,8.63118,8.63118
2013-04-25,33.3787,33.3787,33.3787,979832,979832,979832,20134.8,20134.8,20134.8,12.5782,12.5782,12.5782,6.28908,6.28908,6.28908
2013-05-02,24.3322,24.3322,24.3322,979850,979850,979850,20125.6,20125.6,20125.6,9.16501,9.16501,9.16501,4.5825,4.5825,4.5825
2013-05-09,17.7354,17.7354,17.7354,979863,979863,979863,20118.9,20118.9,20118.9,6.67802,6.67802,6.67802,3.33901,3.33901,3.33901
2013-05-16,12.9259,12.9259,12.9259,979873,979873,979873,20114.1,20114.1,20114.1,4.86588,4.86588,4.86588,2.43294,2.43294,2.43294
2013-05-23,9.41998,9.41998,9.41998,979880,979880,979880,20110.5,20110.5,20110.5,3.54548,3.54548,3.54548,1.77274,1.77274,1.77274
2013-05-30,6.86466,6.86466,6.86466,979885,979885,979885,20108,20108,20108,2.58338,2.58338,2.58338,1.29169,1.29169,1.29169
2013-06-06,5.00234,5.00234,5.00234,979889,979889,979889,20106.1,20106.1,20106.1,1.88236,1.88236,1.88236,0.94118,0.94118,0.94118
2013-06-13,3.64515,3.64515,3.64515,979892,979892,979892,20104.7,20104.7,20104.7,1.37156,1.37156,1.37156,0.685781,0.685781,0.685781
2013-06-20,2.65614,2.65614,2.65614,979894,979894,979894,20103.7,20103.7,20103.7,0.999376,0.999376,0.999376,0.499688,0.499688,0.499688
2013-06-27,1.93544,1.93544,1.93544,979895,979895,979895,20103,20103,20103,0.728185,0.728185,0.728185,0.364093,0.364093,0.364093
2013-07-04,1.41027,1.41027,1.41027,979896,979896,979896,20102.4,20102.4,20102.4,0.530585,0.530585,0.530585,0.265292,0.265292,0.265292
2013-07-11,1.0276,1.0276,1.0276,979897,979897,979897,20102.1,20102.1,20102.1,0.386605,0.386605,0.386605,0.193303,0.193303,0.193303
