"date","cases_Bangkok"
"1982-01-02","96"
"1982-02-01","64"
"1982-03-01","74"
"1982-04-01","53"
"1982-05-01","103"
"1982-06-01","118"
"1982-07-01","175"
"1982-08-01","224"
"1982-09-01","223"
"1982-10-01","205"
"1982-11-01","290"
"1982-12-01","204"
"1983-01-01","115"
"1983-02-01","53"
"1983-03-01","89"
"1983-04-01","102"
"1983-05-01","107"
"1983-06-01","165"
"1983-07-01","310"
"1983-08-01","519"
"1983-09-01","742"
"1983-10-01","881"
"1983-11-01","535"
"1983-12-01","224"
"1984-01-01","127"
"1984-02-01","92"
"1984-03-01","99"
"1984-04-01","103"
"1984-05-01","196"
"1984-06-01","307"
"1984-07-01","469"
"1984-08-01","636"
"1984-09-01","660"
"1984-10-01","684"
"1984-11-01","673"
"1984-12-01","515"
"1985-01-01","358"
"1985-02-01","318"
"1985-03-01","295"
"1985-04-01","225"
"1985-05-01","298"
"1985-06-01","332"
"1985-07-01","359"
"1985-08-01","439"
"1985-09-01","386"
"1985-10-01","341"
"1985-11-01","284"
"1985-12-01","119"
"1986-01-01","92"
"1986-02-01","83"
"1986-03-01","14"
"1986-04-01","6"
"1986-05-01","28"
"1986-06-01","65"
"1986-07-01","227"
"1986-08-01","302"
"1986-09-01","398"
"1986-10-01","563"
"1986-11-01","814"
"1986-12-01","793"
"1987-01-01","858"
"1987-02-01","741"
"1987-03-01","1080"
"1987-04-01","911"
"1987-05-01","1080"
"1987-06-01","1422"
"1987-07-01","1786"
"1987-08-01","1471"
"1987-09-01","895"
"1987-10-01","769"
"1987-11-01","767"
"1987-12-01","376"
"1988-01-01","258"
"1988-02-01","224"
"1988-03-01","233"
"1988-04-01","117"
"1988-05-01","97"
"1988-06-01","203"
"1988-07-01","481"
"1988-08-01","318"
"1988-09-01","227"
"1988-10-01","233"
"1988-11-01","203"
"1988-12-01","155"
"1989-01-01","152"
"1989-02-01","168"
"1989-03-01","225"
"1989-04-01","297"
"1989-05-01","319"
"1989-06-01","408"
"1989-07-01","618"
"1989-08-01","1089"
"1989-09-01","1109"
"1989-10-01","1025"
"1989-11-01","1189"
"1989-12-01","801"
"1990-01-01","533"
"1990-02-01","477"
"1990-03-01","396"
"1990-04-01","293"
"1990-05-01","222"
"1990-06-01","286"
"1990-07-01","372"
"1990-08-01","498"
"1990-09-01","175"
"1990-10-01","38"
"1990-11-01","43"
"1990-12-01","39"
"1991-01-01","250"
"1991-02-01","163"
"1991-03-01","131"
"1991-04-01","88"
"1991-05-01","64"
"1991-06-01","110"
"1991-07-01","124"
"1991-08-01","159"
"1991-09-01","203"
"1991-10-01","169"
"1991-11-01","170"
"1991-12-01","106"
"1992-01-01","57"
"1992-02-01","66"
"1992-03-01","76"
"1992-04-01","48"
"1992-05-01","41"
"1992-06-01","35"
"1992-07-01","78"
"1992-08-01","145"
"1992-09-01","227"
"1992-10-01","216"
"1992-11-01","251"
"1992-12-01","127"
"1993-01-01","177"
"1993-02-01","141"
"1993-03-01","153"
"1993-04-01","113"
"1993-05-01","125"
"1993-06-01","143"
"1993-07-01","245"
"1993-08-01","251"
"1993-09-01","316"
"1993-10-01","402"
"1993-11-01","390"
"1993-12-01","226"
"1994-01-01","111"
"1994-02-01","129"
"1994-03-01","119"
"1994-04-01","82"
"1994-05-01","117"
"1994-06-01","135"
"1994-07-01","229"
"1994-08-01","255"
"1994-09-01","151"
"1994-10-01","134"
"1994-11-01","100"
"1994-12-01","104"
"1995-01-01","72"
"1995-02-01","96"
"1995-03-01","59"
"1995-04-01","52"
"1995-05-01","75"
"1995-06-01","71"
"1995-07-01","119"
"1995-08-01","243"
"1995-09-01","279"
"1995-10-01","205"
"1995-11-01","144"
"1995-12-01","96"
"1996-01-01","72"
"1996-02-01","61"
"1996-03-01","72"
"1996-04-01","45"
"1996-05-01","67"
"1996-06-01","188"
"1996-07-01","143"
"1996-08-01","206"
"1996-09-01","213"
"1996-10-01","224"
"1996-11-01","277"
"1996-12-01","217"
"1997-01-01","176"
"1997-02-01","171"
"1997-03-01","160"
"1997-04-01","114"
"1997-05-01","164"
"1997-06-01","241"
"1997-07-01","352"
"1997-08-01","901"
"1997-09-01","1259"
"1997-10-01","1601"
"1997-11-01","2237"
"1997-12-01","1856"
"1998-01-01","1465"
"1998-02-01","1145"
"1998-03-01","1051"
"1998-04-01","387"
"1998-05-01","243"
"1998-06-01","388"
"1998-07-01","529"
"1998-08-01","633"
"1998-09-01","812"
"1998-10-01","841"
"1998-11-01","696"
"1998-12-01","453"
"1999-01-01","409"
"1999-02-01","387"
"1999-03-01","409"
"1999-04-01","263"
"1999-05-01","378"
"1999-06-01","658"
"1999-07-01","615"
"1999-08-01","560"
