"date","ChiangMai","ChiangRai","Phitsanulok","Tak","KhonKaen","SiSaKat","Kalasin","UbonRatchathani","Chaiyaphum","NakkonRatchasima","PhracinBuri","Saraburi","NakhonSawan","Kalasin","Trat","RoiEt","Chantaburi","Chumphon","SuratThani","Songkla","Ranong"
"1982-01-01",1,0,4,1,30,0,3,0,2,6,1,7,9,3,0,2,6,2,95,28,1
"1982-02-01",3,0,10,0,25,1,6,4,3,1,2,10,22,6,0,3,1,1,23,12,0
"1982-03-01",0,1,33,1,42,3,3,12,2,4,1,4,22,3,14,11,0,2,20,12,0
"1982-04-01",0,0,73,1,54,2,5,39,6,10,4,3,11,5,6,20,1,3,25,20,0
"1982-05-01",1,3,63,8,73,20,5,157,22,29,9,28,20,5,8,50,3,8,49,54,1
"1982-06-01",19,12,95,44,111,20,27,221,24,61,23,28,25,27,38,108,12,49,99,58,2
"1982-07-01",19,10,111,41,160,90,42,176,31,99,21,37,22,42,28,194,19,52,124,70,2
"1982-08-01",11,21,162,19,139,61,39,156,30,139,19,61,31,39,11,178,14,28,81,35,4
"1982-09-01",7,4,103,18,162,33,37,89,36,96,14,33,52,37,5,158,16,21,59,22,4
"1982-10-01",2,5,47,5,192,34,17,64,39,104,5,36,69,17,4,101,4,3,22,17,3
"1982-11-01",0,5,24,10,56,4,4,33,6,41,3,16,54,4,3,31,4,1,15,17,0
"1982-12-01",0,0,6,7,4,1,1,2,7,10,0,10,11,1,0,2,4,2,15,11,0
"1983-01-01",1,2,2,2,5,1,1,5,0,9,2,6,11,1,0,2,17,2,16,9,0
"1983-02-01",1,2,8,2,5,2,0,5,2,1,0,2,14,0,0,1,6,0,11,1,0
"1983-03-01",0,0,8,24,3,0,2,22,1,6,2,1,15,2,1,3,4,0,2,7,0
"1983-04-01",0,3,10,13,0,1,1,8,0,6,2,8,15,1,2,0,8,0,8,7,0
"1983-05-01",3,2,12,14,5,3,0,18,1,5,4,6,24,0,14,3,6,12,19,33,0
"1983-06-01",35,15,29,41,20,19,1,50,3,21,11,29,26,1,28,10,28,22,114,131,1
"1983-07-01",218,171,27,81,34,38,5,57,14,44,20,67,70,5,43,49,42,46,335,299,2
"1983-08-01",356,187,54,73,55,31,6,40,7,97,16,108,188,6,37,88,26,58,248,326,23
"1983-09-01",141,154,71,50,54,39,3,36,17,91,16,150,206,3,22,70,18,37,153,235,1
"1983-10-01",14,21,52,41,58,13,6,21,14,54,16,57,113,6,9,19,8,15,95,101,1
"1983-11-01",0,6,30,16,42,6,3,7,12,21,8,13,72,3,10,7,7,8,62,65,0
