"date","ChiangMai","ChiangRai","Phitsanulok","Tak","KhonKaen","UbonRatchathani","Chaiyaphum","NakkonRatchasima","PrachinBuri","Chanthaburi","Chumphon","SuratThani","Songkhla"
"1980-01-01",1166123,922850,709073,276994,1354855,1288629,857692,1916681,287730,330610,330455,593095,849601
"1990-01-01",1376120,1039388,786509,353803,1681479,1595682,1059549,2384252,399953,439273,397679,738350,1090083
"2000-01-01",1500127,1129701,792678,486146,1733434,1691441,1095360,2556260,406732,480064,446206,869410,1255662
"2004-01-01",1603220,1214913,867356,498714,1770605,1805322,1138944,2591050,453935,511587,477116,935512,1294442
"2005-01-01",1630769,1214405,841524,515877,1741749,1763061,1117118,2539344,445944,494001,472068,938253,1281509
"2006-01-01",1650009,1225058,840970,522197,1747542,1774808,1116934,2546763,449621,498159,475763,947349,1302421
"2007-01-01",1658298,1225713,844508,527677,1750500,1783035,1119146,2555587,453819,502389,478964,960698,1317501
"2008-01-01",1664399,1225013,841683,530928,1752414,1785709,1119597,2552894,454988,504003,481298,970424,1324915
"2009-01-01",1670317,1227317,843995,538330,1756101,1795453,1122647,2565117,459379,508020,484722,983486,1335768
"2010-01-01",1632548,1194933,845561,519662,1762242,1803754,1125166,2571292,461854,511246,487744,994221,1343954
"2011-01-01",1640479,1198218,849692,525684,1767601,1813088,1127423,2582089,466572,514616,489964,1000383,1357023
"2012-01-01",1646144,1198656,851357,531018,1766066,1816057,1127423,2585325,469652,516855,492182,1012064,1367010
"2013-01-01",1646144,1198656,851357,531018,1766066,1816057,1127423,2585325,469652,516855,492182,1012064,1367010
